Order Id,Payment Method,Phone No.,Place Name,Ref Num,Region,Sku,SSN,State,Status,User Name,Year,Zip,Age,Discount Amount,Discount Percent,Price,Qty Ordered,Total,Value
ORD100000,Net Banking,+916515473405,Ahmedabad,REF88514,East,SKU9552,IN510601,Meghalaya,Cancelled,user_0,FY2020-21,763271,38,2706,30,81961,1,79255,85210.51079694355
ORD100001,Credit Card,+916538094579,Mumbai,REF15134,East,SKU4123,IN171052,Maharashtra,Cancelled,user_1,FY2020-21,861052,52,2339,45,27704,4,108477,115318.9247310259
ORD100002,Cash on Delivery,+916697634925,Mumbai,REF12652,North,SKU8427,IN129009,Rajasthan,Returned,user_2,FY2020-21,445968,20,4566,22,56655,3,165399,160216.59200662278
ORD100003,Cash on Delivery,+916468706059,Bangalore,REF21191,Central,SKU4024,IN916241,Gujarat,Shipped,user_3,FY2020-21,259053,21,3215,45,18205,4,69605,67448.00789728037
ORD100004,Net Banking,+916933214629,Ahmedabad,REF88987,West,SKU7881,IN698279,Odisha,Shipped,user_4,FY2020-21,155677,40,2232,37,51093,3,151047,159966.3215452157
ORD100005,Net Banking,+918208729602,Jaipur,REF46364,Central,SKU5121,IN750410,Odisha,Shipped,user_5,FY2020-21,881809,37,3483,28,10830,2,18177,16649.327728784792
ORD100006,Credit Card,+918920844217,Delhi,REF90160,Central,SKU5156,IN240162,Punjab,Cancelled,user_6,FY2020-21,294843,49,1333,43,66680,1,65347,69395.23049671426
ORD100007,Net Banking,+918484784525,Bangalore,REF95103,Central,SKU7377,IN672496,Telangana,Returned,user_7,FY2020-21,870838,43,2467,14,49941,1,47474,47655.72998136245
ORD100008,Credit Card,+919037281079,Delhi,REF82150,South,SKU5686,IN887309,West Bengal,Returned,user_8,FY2020-21,931406,42,3108,26,62171,4,245576,231682.26195028613
ORD100009,UPI,+918220607913,Chennai,REF42149,West,SKU6940,IN730333,Haryana,Delivered,user_9,FY2020-21,432652,28,2594,14,84616,2,166638,178679.29232696583
ORD100010,Credit Card,+917680859292,Bangalore,REF60906,South,SKU6108,IN999410,Andhra Pradesh,Returned,user_10,FY2020-21,429802,52,4647,8,35565,1,30918,30717.276864977124
ORD100011,Net Banking,+917776807917,Hyderabad,REF15501,East,SKU3625,IN142152,Punjab,Shipped,user_11,FY2020-21,443353,32,381,38,87898,2,175415,174791.3627488498
ORD100012,Net Banking,+919484705261,Hyderabad,REF42088,West,SKU6352,IN908372,Uttar Pradesh,Shipped,user_12,FY2020-21,846099,53,4968,22,6552,3,14688,13280.954534983204
ORD100013,Debit Card,+917694640370,Jaipur,REF91601,Central,SKU7553,IN474188,Gujarat,Cancelled,user_13,FY2020-21,610207,38,2541,2,7392,4,27027,26763.32281057947
ORD100014,Net Banking,+917096606026,Mumbai,REF29157,South,SKU7896,IN618127,Maharashtra,Delivered,user_14,FY2020-21,135040,34,4286,47,35388,1,31102,33093.453126487926
ORD100015,UPI,+919030751985,Bangalore,REF94177,North,SKU1953,IN692860,Telangana,Returned,user_15,FY2020-21,430396,35,2956,27,61984,2,121012,110128.03918487328
ORD100016,Debit Card,+917624142103,Kolkata,REF67883,Central,SKU6156,IN144200,Telangana,Shipped,user_16,FY2020-21,550333,57,3280,17,88167,2,173054,169146.67123103968
